player1,player2,player1_rank,player2_rank,surface,rank_difference,player1_win_rate,player2_win_rate,player1_surface_win_rate,player2_surface_win_rate,player1_recent_form,player2_recent_form,player1_wins
Grigor Dimitrov,Holger Rune,9,13,Hard,-4,0.71875,0.6666666666666666,0.7391304347826086,0.6808510638297872,7,7,1
Holger Rune,Grigor Dimitrov,13,9,Hard,4,0.6666666666666666,0.71875,0.6808510638297872,0.7391304347826086,7,7,0
Holger Rune,Roman Safiullin,13,60,Hard,-47,0.6666666666666666,0.4186046511627907,0.6808510638297872,0.4642857142857143,7,5,1
Roman Safiullin,Holger Rune,60,13,Hard,47,0.4186046511627907,0.6666666666666666,0.4642857142857143,0.6808510638297872,5,7,0
Grigor Dimitrov,Jordan Thompson,9,28,Hard,-19,0.71875,0.5901639344262295,0.7391304347826086,0.6304347826086957,7,5,1
Jordan Thompson,Grigor Dimitrov,28,9,Hard,19,0.5901639344262295,0.71875,0.6304347826086957,0.7391304347826086,5,7,0
Holger Rune,James Duckworth,13,77,Hard,-64,0.6666666666666666,0.375,0.6808510638297872,0.3125,7,1,1
James Duckworth,Holger Rune,77,13,Hard,64,0.375,0.6666666666666666,0.3125,0.6808510638297872,1,7,0
Roman Safiullin,Matteo Arnaldi,60,38,Hard,22,0.4186046511627907,0.5283018867924528,0.4642857142857143,0.5454545454545454,5,4,1
Matteo Arnaldi,Roman Safiullin,38,60,Hard,-22,0.5283018867924528,0.4186046511627907,0.5454545454545454,0.4642857142857143,4,5,0
Jordan Thompson,Rafael Nadal,28,154,Hard,-126,0.5901639344262295,0.6,0.6304347826086957,0.5,5,5,1
Rafael Nadal,Jordan Thompson,154,28,Hard,126,0.6,0.5901639344262295,0.5,0.6304347826086957,5,5,0
Grigor Dimitrov,Rinky Hijikata,9,78,Hard,-69,0.71875,0.42105263157894735,0.7391304347826086,0.5,7,5,1
Rinky Hijikata,Grigor Dimitrov,78,9,Hard,69,0.42105263157894735,0.71875,0.5,0.7391304347826086,5,7,0
Holger Rune,Alexander Shevchenko,13,64,Hard,-51,0.6666666666666666,0.44,0.6808510638297872,0.46875,7,5,1
Alexander Shevchenko,Holger Rune,64,13,Hard,51,0.44,0.6666666666666666,0.46875,0.6808510638297872,5,7,0
James Duckworth,Yannick Hanfmann,77,95,Hard,-18,0.375,0.4878048780487805,0.3125,0.6,1,8,1
Yannick Hanfmann,James Duckworth,95,77,Hard,18,0.4878048780487805,0.375,0.6,0.3125,8,1,0
Roman Safiullin,Alexei Popyrin,60,24,Hard,36,0.4186046511627907,0.56,0.4642857142857143,0.65625,5,5,1
Alexei Popyrin,Roman Safiullin,24,60,Hard,-36,0.56,0.4186046511627907,0.65625,0.4642857142857143,5,5,0
Matteo Arnaldi,Lukas Klein,38,153,Hard,-115,0.5283018867924528,0.45,0.5454545454545454,0.42857142857142855,4,4,1
Lukas Klein,Matteo Arnaldi,153,38,Hard,115,0.45,0.5283018867924528,0.42857142857142855,0.5454545454545454,4,4,0
Rafael Nadal,Jason Kubler,154,113,Hard,41,0.6,0.3333333333333333,0.5,0.3333333333333333,5,1,1
