name,total_wins,total_losses,total_matches,win_rate,current_rank,surface_stats,recent_form,last_match_date
Tallon Griekspoor,33,30,63,0.5238095238095238,40,"{'Hard': {'wins': 21, 'matches': 40, 'win_rate': 0.525}, 'Clay': {'wins': 8, 'matches': 16, 'win_rate': 0.5}, 'Grass': {'wins': 4, 'matches': 7, 'win_rate': 0.5714285714285714}}",5,2024-11-24
Ajeet Rai,0,3,3,0.0,498,"{'Hard': {'wins': 0, 'matches': 3, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",0,2024-09-14
Boris Arias,1,0,1,1.0,999,"{'Hard': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Clay': {'wins': 1, 'matches': 1, 'win_rate': 1.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",1,2024-02-03
Benjamin Hassan,4,4,8,0.5,245,"{'Hard': {'wins': 0, 'matches': 1, 'win_rate': 0.0}, 'Clay': {'wins': 4, 'matches': 7, 'win_rate': 0.5714285714285714}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",4,2024-10-14
Henrique Rocha,3,2,5,0.6,159,"{'Hard': {'wins': 2, 'matches': 2, 'win_rate': 1.0}, 'Clay': {'wins': 1, 'matches': 3, 'win_rate': 0.3333333333333333}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",3,2024-09-13
Jannik Sinner,74,7,81,0.9135802469135802,1,"{'Hard': {'wins': 54, 'matches': 57, 'win_rate': 0.9473684210526315}, 'Clay': {'wins': 11, 'matches': 14, 'win_rate': 0.7857142857142857}, 'Grass': {'wins': 9, 'matches': 10, 'win_rate': 0.9}}",10,2024-11-24
Taylor Fritz,53,23,76,0.6973684210526315,4,"{'Hard': {'wins': 28, 'matches': 42, 'win_rate': 0.6666666666666666}, 'Clay': {'wins': 15, 'matches': 22, 'win_rate': 0.6818181818181818}, 'Grass': {'wins': 10, 'matches': 12, 'win_rate': 0.8333333333333334}}",6,2024-11-21
Andrea Pellegrino,0,1,1,0.0,153,"{'Hard': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 1, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",0,2024-07-15
Rowland Phillips,0,2,2,0.0,999,"{'Hard': {'wins': 0, 'matches': 2, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",0,2024-02-03
Jordan Thompson,36,25,61,0.5901639344262295,28,"{'Hard': {'wins': 29, 'matches': 46, 'win_rate': 0.6304347826086957}, 'Clay': {'wins': 3, 'matches': 8, 'win_rate': 0.375}, 'Grass': {'wins': 4, 'matches': 7, 'win_rate': 0.5714285714285714}}",5,2024-10-28
Egor Gerasimov,0,1,1,0.0,304,"{'Hard': {'wins': 0, 'matches': 1, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",0,2024-10-02
Ethan Quinn,1,3,4,0.25,254,"{'Hard': {'wins': 0, 'matches': 2, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 1, 'matches': 2, 'win_rate': 0.5}}",1,2024-07-15
Marc Polmans,0,2,2,0.0,217,"{'Hard': {'wins': 0, 'matches': 1, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 1, 'win_rate': 0.0}}",0,2024-07-15
Fitriadi M Rifqi,2,0,2,1.0,569,"{'Hard': {'wins': 2, 'matches': 2, 'win_rate': 1.0}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",2,2024-02-03
Juan Pablo Varillas,2,10,12,0.16666666666666666,179,"{'Hard': {'wins': 0, 'matches': 4, 'win_rate': 0.0}, 'Clay': {'wins': 2, 'matches': 8, 'win_rate': 0.25}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",2,2024-09-13
Andrea Collarini,0,1,1,0.0,264,"{'Hard': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 1, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",0,2024-07-22
Zachary Svajda,4,9,13,0.3076923076923077,131,"{'Hard': {'wins': 4, 'matches': 12, 'win_rate': 0.3333333333333333}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 1, 'win_rate': 0.0}}",3,2024-10-02
Guido Andreozzi,0,1,1,0.0,406,"{'Hard': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 1, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",0,2024-07-22
Sebastian Dominko,1,1,2,0.5,1107,"{'Hard': {'wins': 1, 'matches': 2, 'win_rate': 0.5}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",1,2024-02-02
Omni Kumar,0,1,1,0.0,433,"{'Hard': {'wins': 0, 'matches': 1, 'win_rate': 0.0}, 'Clay': {'wins': 0, 'matches': 0, 'win_rate': 0.0}, 'Grass': {'wins': 0, 'matches': 0, 'win_rate': 0.0}}",0,2024-08-19
Max Purcell,14,20,34,0.4117647058823529,97,"{'Hard': {'wins': 8, 'matches': 21, 'win_rate': 0.38095238095238093}, 'Clay': {'wins': 2, 'matches': 5, 'win_rate': 0.4}, 'Grass': {'wins': 4, 'matches': 8, 'win_rate': 0.5}}",5,2024-08-26
